Idzawodnika;Nazwisko;Imie;Miasto
PL-0200050;Fik;S³awomir Adam;Szamotu³y
PL-0200051;Fr¹czyk;S³awomir;Poznañ
PL-0200052;G³owacki;S³awomir;Poznañ
PL-0200053;Gmyrek;S³awomir;Lubin
PL-0200054;Go³embski;S³awomir;Ko³o
PL-0200055;Janicka;S³awomir;Kalisz
PL-0200056;Kabat;S³awomir;Wyszyny
PL-0200057;Kliœ;S³awomir;Poznañ
PL-0200058;Kulawik;S³awomir;Poznañ
PL-0200059;£oziñska;S³awomir;G³ogów
PL-0200060;Mrozek;S³awomir;Olsztyn
PL-0200061;Pa³gan;S³awomir;Swarzêdz
PL-0200062;Pudliszak;S³awomir;Poznañ
PL-0200063;Purol;S³awomir;Swarzêdz
PL-0200064;Rybarczyk;S³awomir;Poznañ
PL-0200065;Rybski;S³awomir;Poznañ
PL-0200066;Rzepka;S³awomir;Poznañ
PL-0200067;Sibila;S³awomir;Poznañ
PL-0200068;Sibila;S³awomir;Poznañ
PL-0200069;Siminiak;S³awomir;Poznañ
PL-0200070;Urbanowska;S³awomir;Leszno
PL-0200071;Wrona;S³awomir;Lublin
PL-0200072;£ukomski;S³awomir;¯nin
PL-0200073;Menclewicz;S³awomir;Mogilno
PL-0200074;Graczyk;S³awomir;Mogilno
PL-0200075;Kleeberg;S³awomir;Poznañ
PL-0200076;Radziejowska;S³awomir;Poznañ
PL-0200077;Sikorska;S³awomir;Poznañ
PL-0200078;Mase³kowska;S³awomir;Poznañ
PL-0200079;Kwaœny;S³awomir;Wrzeœnia
PL-0200080;Dajerling;S³awomir;Poznañ
PL-0200081;Parczyñska;S³awomir;Chodzie¿
PL-0200082;Pierzchalski;S³awomir;Poznañ
PL-0200083;Perz;S³awomir;Poznañ
PL-0200084;Michalski;S³awomir;Biedrusko
PL-0200085;Drynda;S³awomir;Poznañ
PL-0200086;Czerwiñska (Zawadzka);S³awomir;Poznañ
PL-0200087;Wawrzyniak;S³awomir;Poznañ
PL-0200088;Pach;S³awomir;Poznañ
PL-0200089;Bentyl;S³awomir;Poznañ
PL-0200090;Cierniewska;S³awomir;Poznañ
PL-0200091;Biernacik;S³awomir;Poznañ
PL-0200092;Nachowski;S³awomir;Poznañ
PL-0200093;Œwi¹tek;S³awomir;Konin
PL-0200094;Król;S³awomir;Konin
PL-0200095;Andrzejewski;S³awomir;Konin
PL-0200096;Depiñska;S³awomir;Kleczew
PL-0200097;Depiñska;S³awomir;Kleczew
PL-0200098;Chorzewski;S³awomir;Konin
PL-0200099;Telesiñski;S³awomir;Kramsk
PL-0200100;Dankowska;S³awomir;Konin
PL-0200101;Roemer;S³awomir;Poznañ
PL-0200102;Jagie³ka;S³awomir;Poznañ
PL-0200103;Miko³ajewski;S³awomir;Pi³a
PL-0200104;Grzelak;S³awomir;Pi³a
PL-0200105;Pyszka;S³awomir;Wysoka
PL-0200106;Folerzyñski;S³awomir;Ujœcie
PL-0200107;£uczak;S³awomir;Tuczno
PL-0200108;Hatowski;S³awomir;Pi³a
PL-0200109;Kowalski;S³awomir;Pi³a
PL-0200110;Olkiewicz;S³awomir;Pi³a
PL-0200111;S³awiñski;S³awomir;Pi³a
PL-0200112;Kubiaczyk;S³awomir;Dziembowo
PL-0200113;Sarnowski;S³awomir;Pi³a
PL-0200114;Piechowiak;S³awomir;Pi³a
PL-0200115;Œnie¿ko;S³awomir;Pi³a
PL-0200116;Lewandowska;S³awomir;Pi³a
PL-0200117;Marciniak;S³awomir;Pi³a
PL-0200118;Szwerkolt;S³awomir;Pi³a
PL-0200119;Piechocka;S³awomir;Pi³a
PL-0200120;Paku³a;S³awomir;Ujœcie
PL-0200121;Korzeniowska;S³awomir;Okonek
PL-0200122;Graczew;S³awomir;Pi³a
PL-0200123;Domagalski;S³awomir;Pi³a
PL-0200124;Solka;S³awomir;Praszka
PL-0200125;Kosakowski;S³awomir;Czarny Dunajec
PL-0200126;Biernacka;S³awomir;Gdañsk-Oliwa
PL-0200127;Korzeniewski;S³awomir;Inowroc³aw
PL-0200128;Kotowska;S³awomir;Warszawa
PL-0200129;Teresiñski;S³awomir;Zamoœæ
PL-0200130;Ha³ajczak;S³awomir;Wroc³aw
PL-0200131;Marciniak;S³awomir;Bia³a Podlaska
PL-0200132;Starosta;S³awomir;Olsztyn
PL-0200133;Furmaga;S³awomir;Gdañsk-Oliwa
PL-0200134;Pa³asz;S³awomir;Kraków
PL-0200136;Maciejewski;S³awomir;Katowice
PL-0200138;Szramkiewicz;S³awomir;Swarzêdz
PL-0200139;Kosiñska;S³awomir;Swarzêdz
PL-0200140;Nowak;S³awomir;Swarzêdz
PL-0200143;Si³akiewicz;S³awomir;Lublin
PL-0200144;Tymczyszyn;S³awomir;Lublin
PL-0200145;Œrednicka;S³awomir;Lublin
PL-0200146;Ptak;S³awomir;Lublin
PL-0200148;Prusakiewicz;S³awomir;Lublin
PL-0200149;Radek;S³awomir;Poznañ
PL-0200150;Firlej;S³awomir;Lublin
PL-0200151;Agaciñska;S³awomir;Lublin
PL-0200152;Jasiewicz;S³awomir;Lublin
PL-0200154;Nowak;S³awomir;Lublin
PL-0200155;Szadna;S³awomir;Lublin
PL-0200156;G¹siorowska;S³awomir;Lublin
PL-0200157;Startek;S³awomir;Lublin
PL-0200159;Pietrasiak;S³awomir;Lublin
PL-0200160;Krajewska;S³awomir;Lublin
PL-0200161;Szmyt;S³awomir;Lublin
PL-0200163;B³aszczak;S³awomir;Lublin
PL-0200164;Winkler;S³awomir;Lublin
PL-0200165;Knekotowska;S³awomir;Lublin
PL-0200166;Bieñkowska;S³awomir;Lublin
PL-0200167;Kordel;S³awomir;Poznañ
PL-0200168;Hasse-Creœliñska;S³awomir;Lublin
PL-0200170;Stelmaszyk;S³awomir;Lublin
PL-0200173;Kisia³a;S³awomir;Lublin
PL-0200201;Brzeziñska;S³awomir;Œrem
PL-0200202;Duszyñska;S³awomir;Konin
PL-0200203;Haremska;S³awomir;Zaniemyœl
PL-0200204;Jêdraszczyk;S³awomir;Poznañ
PL-0200205;KaŸmierczak;S³awomir;Poznañ
PL-0200206;Krempiñski;S³awomir;S³upca
PL-0200207;Kocur;S³awomir;Zb¹szyñ
PL-0200208;Napiera³a;S³awomir;Poznañ
PL-0200209;Pe³ka;S³awomir;Poznañ
PL-0200210;Witek;S³awomir;D¹brówka Leœna
PL-0200211;Zaremba;Siarhej;Poznañ
PL-0200212;Piasecka;Seweryn;Puszczykowo
PL-0200213;B¹czyk;Seweryn;Luboñ
PL-0200214;Podworny;Seweryn;Rokietnica
PL-0200215;Zaradniak;Sebiastian;Krotoszyn
PL-0200216;Wasyluk;Sebastian Piotr;Bia³a Podlaska
PL-0200217;Miko³ajewska;Sebastian Jan;Ruda Komorska
PL-0200218;KoŸma;Sebastian;Poznañ
PL-0200219;Pencarska-Osmo³a;Sebastian;Poznañ
PL-0200220;Matkowska;Sebastian;Krzy¿ Wlkp.
PL-0200221;Nowakowski;Sebastian;Krzy¿ Wlkp.
PL-0200222;Sroka;Sebastian;Krzy¿ Wlkp.
PL-0200223;Rudol-Vega;Sebastian;Poznañ
PL-0200224;Grzeszczak;Sebastian;Lublin
PL-0200225;£ohunko;Sebastian;Krzy¿ Wlkp.
PL-0200226;£ohunko;Sebastian;Krzy¿ Wlkp.
PL-0200227;Koczan;Sebastian;Szczecin
PL-0200228;Prusinowski;Sebastian;Poznañ
PL-0200229;So³ecki;Sebastian;Poznañ
PL-0200230;Polcyn;Sebastian;Osiek
PL-0200231;Szy³obryt;Sebastian;Pi³a
PL-0200232;Klejna;Sebastian;Pi³a
PL-0200233;Sobañski;Sebastian;Pi³a
PL-0200234;Bogucki;Sebastian;Pi³a
PL-0200235;Taba³a;Sebastian;Pi³a
PL-0200236;Delbowski;Sebastian;Pi³a
PL-0200237;M¹drzak-Chromiñska;Sebastian;Trzcianka
PL-0200238;PrzewoŸniak;Sebastian;Kaczory
PL-0200239;Nieruszewski;Sebastian;Pi³a
PL-0200240;Knitter;Sebastian;Pi³a
PL-0200241;Paprocka;Sebastian;Œmi³owo
PL-0200242;Paszko;Sebastian;Le¿enica
PL-0200243;Œnie¿ko;Sebastian;Pi³a
PL-0200244;Skrzypski;Sebastian;Pi³a
PL-0200245;Ziarek;Sebastian;Wyrzysk
PL-0200246;Rakicka;Sebastian;Kunice
PL-0200247;Kowalewska;Sebastian;Braniewo
PL-0200248;Pa³ys;Sebastian;Pszczó³ki
PL-0200249;Ratajczak;Sebastian;Poznañ
PL-0200250;Jasiewicz;Sebastian;Krzy¿ Wlkp.
PL-0200251;Lewkowicz;Sebastian;Krzy¿ Wlkp.
PL-0200252;Gniatkiewicz-Lewkowicz;Sebastian;Krzy¿ Wlkp.
PL-0200253;Broka;Sebastian;Krzy¿ Wlkp.
PL-0200254;Brzozowska;Sebastian;Krzy¿ Wlkp.
PL-0200255;Vashehuk;Sebastian;KrzyŸ Wlkp.
PL-0200256;Mazurkiewicz;Sebastian;KrzyŸ Wlkp.
PL-0200257;Koczerba;Sebastian;KrzyŸ Wlkp.
PL-0200258;£ukaszewicz;Sebastian;KrzyŸ Wlkp.
PL-0200259;Rybarczyk;Sebastian;KrzyŸ Wlkp.
PL-0200260;Peliñska;Sebastian;KrzyŸ Wlkp.
PL-0200261;Piechowiak;Sebastian;Plewiska
PL-0200262;Opiela;Sebastian;Poznañ
PL-0200263;Sobczak;Sebastian;Lublin
PL-0200264;Majchrzak;Sebastian;Lublin
PL-0200266;Jaœkowiak;Sebastian;Lublin
PL-0200267;Michalski;Sebastian;Lublin
PL-0200268;Wiœniewski;Sebastian;Lublin
PL-0200269;Walczak;Sebastian;Lublin
PL-0200270;Kornicki;Sebastian;Lublin
PL-0200271;Mulczyñski;Sebastian;Lublin
PL-0200279;Matysiak;Sebastian;Lublin
PL-0200280;Œpikowski;Sebastian;Lublin
PL-0200284;Gnatowicz;Sebastian;Krzy¿ Wlkp.
PL-0200285;Grzyma³a;Sebastian;KuŸnica ¯elicho
PL-0200286;Kujawa;Sebastian;Krzy¿ Wlkp.
PL-0200287;Rymiñska;Sebastian;Wieleñ
PL-0200288;Wydryszek;Sebastian;Krzy¿ Wlkp.
PL-0200289;Harak;Sebastian;Krzy¿ Wlkp.
PL-0200290;Kubiœ;Sebastian;Wieleñ
PL-0200291;Musiak;Sebastian;Krzy¿ Wlkp.
PL-0200292;Nowak;Sebastian;Krzy¿ Wlkp.
PL-0200293;Jadrzyn;Sebastian;Krzy¿ Wlkp.
PL-0200294;Matykiewicz;Sebastian;Leszno
PL-0200295;Koralewska;Sebastian;Poznañ
PL-0200296;Kaczmarek;Sebastian;Poznañ
PL-0200297;Kwieciñski;Sebastian;Poznañ
PL-0200298;Prêtka;Sebastian;Poznañ
PL-0200299;Neumann;Sebastian;Poznañ
PL-0200300;Cieszko;Sebastian;Szczecinek
PL-0200301;Przybylak;Sebastian;Poznañ
PL-0200302;Nowicki;Sebastian;Kozieg³owy
PL-0200303;Paluszkiewicz;Sebastian;Pi³a
PL-0200304;Chroœniak;Sebastian;Poznañ
PL-0200305;Gralec;Sebastian;Poznañ
PL-0200306;Szymaszczyk;Sebastian;Bojanowo
PL-0200307;Schneck;Sebastian;Bojanowo
PL-0200308;Sierszu³a;Sebastian;Bojanowo
PL-0200309;Koñczak;Sebastian;Bojanowo
PL-0200310;Œwitalska;Sebastian;Bojanowo
PL-0200311;Duszak;Sebastian;Bojanowo
PL-0200312;Ku³aczkowski;Sebastian;Bojanowo
PL-0200313;Dzielska;Sebastian;Bojanowo
PL-0200314;Lipowczyk;Sebastian;Bojanowo
PL-0200315;Kowalczyk;Sebastian;Koœcian
PL-0200316;Kowalewski;Sebastian;Bojanowo
PL-0200317;Szynkowski;Sebastian;Pi³a
PL-0200318;Konopacki;Sebastian;Lipka
PL-0200319;Szmaj;Sebastian;Ostrów Wlkp.
PL-0200320;Cha³upniczak;Sebastian;Ostrów Wlkp.
PL-0200321;Baranowski;Sebastian;Ostrów Wlkp.
PL-0200322;Rudowicz;Sebastian;Nowe Skalmierzy
PL-0200323;Korczewski;Sebastian;Ostrów Wlkp.
PL-0200324;Herzog;Sebastian;Ostrów Wlkp.
PL-0200325;Stañczyk;Sebastian;Przygodzice
PL-0200326;Roszka;Sebastian;Ostrów Wlkp.
PL-0200327;Dolata;Sebastian;Ostrów Wlkp.
PL-0200328;Ro¿ek;Sebastian;Ostrów Wlkp.
PL-0200329;Stachowiak;Sebastian;Ostrów Wlkp.
PL-0200330;Szperzyñska;Sebastian;Ostrów Wlkp.
PL-0200331;Wawrzyniak;Sebastian;Ostrów Wlkp.
PL-0200332;Peukert;Sebastian;Ostrów Wlkp.
PL-0200333;Urbaniak;Sebastian;Ostrów Wlkp.
PL-0200334;Janiak;Sebastian;Ostrów Wlkp.
PL-0200335;Bia³as;Sebastian;Kalisz
PL-0200336;Kupijaj;Sebastian;Ostrów Wlkp.
PL-0200337;Wieruchowska;Sebastian;Ostrów Wlkp.
PL-0200338;Handke;Sebastian;Ostrów Wlkp.
PL-0200339;Wieruchowski;Sebastian;Ostrów Wlkp.
PL-0200340;Lew;Sebastian;Ostrów Wlkp.
PL-0200341;Baron;Sebastian;Miasteczko Huby
PL-0200342;Pietrzak;Sebastian;Poznañ
PL-0200343;Podlewska;Sebastian;£agiewniki Koœc
PL-0200344;Kuc;Sebastian;Poznañ
PL-0200345;Lisowiec;Sebastian;Odolanów
PL-0200346;Dropek;Sebastian;Swarzêdz
PL-0200347;Musie³;Sebastian;Ostrów Wlkp.
PL-0200348;Pieni¹dz;Sebastian;Pustków 3
PL-0200349;Przybycin;Sebastian;Ostrów Wlkp.
PL-0200350;Rachwalski;Sebastian;Ostrów Wlkp.
PL-0200351;Szczupak;Sebastian;Brzesko-Jasieñ
PL-0200352;Wita;Sebastian;Kostrzyñ Wlkp.
PL-0200353;Kaczmarek;Sebastian;Swarzêdz
PL-0200354;Kubiœ;Sebastian;Krzy¿ Wlkp.
PL-0200355;Tchórzko;Sebastian;Krzy¿ Wlkp.
PL-0200356;Janek;Sebastian;Zielona Góra
PL-0200357;Cylke;Sebastian;Bia³oœliwie
PL-0200358;Sza³ata;Sebastian;Pi³a
PL-0200359;Duda;Sara;Z³otów
PL-0200360;Wiêcko;Sara;Pi³a
PL-0200361;Dudek-Rzazewski;Sandra;Poznañ
PL-0200362;Hibner;Sandra;Poznañ
PL-0200363;Wysocka;Sandra;Nowa Sól
PL-0200364;Urbanek;Sandra;Œrem
PL-0200365;Szychta;Sandra;RogoŸno Wlkp.
PL-0200366;Sier¿ant;Sandra;Poznañ
PL-0200367;Czartoszewska;Sandra;Poznañ
PL-0200368;Kwiatek;Sandra;Kostrzyn Wlkp.
PL-0200369;Zakrzewska;Sabina Maria;Kiekrz
PL-0200370;Zapotoczna;Sabina Maria;Poznañ
PL-0200371;Januszewicz;Sabina Maria;Swarzêdz
PL-0200372;Pluta;Sabina Anna;Leszno
PL-0200373;Michalak;Sabina;Poznañ
PL-0200374;Plackowska;Sabina;Poznañ
PL-0200375;Wierzbicki;Sabina;Gorzów Wlkp.
PL-0200376;Tobiszowski;Sabina;Gorzów Wlkp.
PL-0200377;Iwanicka;Sabina;Gubin
PL-0200378;Herman;Sabina;Dar¿ewo 1
PL-0200379;B¹czyk;Sabina;Poznañ
PL-0200380;Skzypinski;Sabina;Poznañ
PL-0200381;Wawrzyniak;Sabina;Swarzêdz
PL-0200382;Zawada;Sabina;Swarzêdz
PL-0200383;Kapiñska;Sabina;Poznañ
PL-0200384;Giemza;Sabina;Poznañ
PL-0200385;Aleksandrzak;Sabina;Ostrów Wlkp.
PL-0200386;Szkudlarek;Sabina;Ostrów Wlkp.
PL-0200387;Granowski;Sabina;Ostrów Wlkp.
PL-0200388;Matuszak;Sabina;Ostrów Wlkp.
PL-0200389;Cebulski;Sabina;Ostrów Wlkp.
PL-0200390;Jurkiewicz;Sabina;Ostrów Wlkp.
PL-0200391;Morisson;Sabina;Ostrów Wlkp.
PL-0200392;Kowalczyk;Sabina;Ostrów Wlkp. II
PL-0200393;P³onka;Sabina;Odolanów
PL-0200394;Odrobiñski;Sabina;Ostrzeszów
PL-0200395;Koralewski;Sabina;Ostrów Wlkp.
PL-0200396;Nie³acny;Ryszarda;Ostrów Wlkp.
PL-0200397;Felski;Ryszard Micha³;Szamocin
PL-0200398;Jakubowski;Ryszard Les³aw;Chodzie¿
PL-0200399;Michalski;Ryszard;Szamocin
PL-0200400;Œwierczyñski;Ryszard;Chodzie¿
PL-0200401;Krzy¿anowski;Ryszard;Chodzie¿
PL-0200402;Okulski;Ryszard;Chodzie¿
PL-0200403;Okulska;Ryszard;Chodzie¿
PL-0200404;Olsza;Ryszard;Chodzie¿
PL-0200405;Wojtkowiak;Ryszard;Chodzie¿
PL-0200406;Maækiewicz;Ryszard;Chodzie¿
PL-0200407;Dorna;Ryszard;Chodzie¿
PL-0200408;Ciepluch-£ach;Ryszard;Chodzie¿
PL-0200409;Reiter;Ryszard;Chodzie¿
PL-0200410;Garbarczyk;Ryszard;Chodzie¿
PL-0200411;Szumowska-Kalinowska;Ryszard;Chodzie¿
PL-0200412;Ordowska;Ryszard;Chodzie¿
PL-0200413;Idczak;Ryszard;Chodzie¿
PL-0200414;Idczak;Ryszard;Chodzie¿
PL-0200415;Dêbski;Ryszard;Chodzie¿
PL-0200416;Dziamski;Ryszard;Chodzie¿
PL-0200417;Figlewski;Ryszard;Chodzie¿
PL-0200418;Karolak;Ryszard;Kalisz
PL-0200419;Ma³ecki;Ryszard;Konin
PL-0200420;Staszak;Ryszard;Konin
PL-0200421;Fio³ek;Ryszard;Poznañ
PL-0200422;Rzepka;Ryszard;Poznañ
PL-0200423;Biegañska;Ryszard;Poznañ
PL-0200424;Pieczyñski;Ryszard;Murowana Goœlin
PL-0200425;Sobczak;Ryszard;Poznañ
PL-0200426;Fludra;Ryszard;Poznañ
PL-0200427;Kunstowicz;Ryszard;Czempiñ
PL-0200428;Szulc;Ryszard;Poznañ
PL-0200429;Wiese;Ryszard;Poznañ
PL-0200430;Nawrocka;Ryszard;Ostrów Wlkp.
PL-0200431;So³tysiak;Ryszard;Wolsztyn
PL-0200432;Leœnik;Ryszard;Wrzeœnia
PL-0200433;Drobiñska;Ryszard;Poznañ
PL-0200434;Ignaszczak;Ryszard;Strykowo
PL-0200435;Schwandt;Ryszard;Siedlec
PL-0200436;Borowiak;Ryszard;Poznañ
PL-0200437;Chorbiñska;Ryszard;Buk, Dobie¿yn
PL-0200438;Dalecka;Ryszard;Poznañ
PL-0200439;Butkiewicz;Ryszard;Œwiebodzin
PL-0200440;Wieczorek;Ryszard;Gliwice
PL-0200441;Pr¹dzyñski;Ryszard;Poznañ
PL-0200442;Burzyñski;Rudolf;Poznañ
PL-0200443;Chojnacka;Ró¿a Anna;Poznañ
PL-0200444;Kleinert;Ró¿a;Poznañ
PL-0200445;Wiêcek;Ró¿a;Wrzeœnia
PL-0200446;Klimowicz;Romualda;Szamotu³y
PL-0200447;Kulczyñska;Romuald;Poznañ
PL-0200448;Paprzycka;Romuald;Poznañ
PL-0200449;£ypaczewska;Romuald;Krotoszyn
PL-0200450;Sikuciñska;Romana;Be³chatów
PL-0200451;Ogonowska;Romana;Lubsko
PL-0200452;Fogiel;Romana;Lubsko
PL-0200453;Stefañska;Roman Pawe³;Poznañ
PL-0200454;Klita;Roman;Poznañ
PL-0200455;Dutkiewicz;Roman;Poznañ
PL-0200456;Walczak;Roman;Poznañ
PL-0200457;Chraplak;Roman;Poznañ
PL-0200458;KaŸmierska;Roman;Poznañ
PL-0200459;Biechoñska;Roman;Piotrków Tryb.
PL-0200460;Kowalska;Roman;Chodzie¿
PL-0200461;Wesó³;Roman;Tuczno
PL-0200462;Adam;Roman;Buk
PL-0200463;Grzelczak;Roman;Poznañ
PL-0200464;Œliwiñska;Roman;Miêdzychód
PL-0200465;Balkowska;Roman;Poznañ
PL-0200466;Oœwieciñski;Roman;Myœlibórz
PL-0200467;Baik;Roman;Myœlibórz
PL-0200468;Rosenfeld;Roman;Poznañ
PL-0200469;Michalak;Roman;Swarzêdz
PL-0200470;Chibani;Roman;Potêgowo
PL-0200471;Bill;Roman;Poznañ
PL-0200472;Kurzawa;Roman;Promnice
PL-0200473;Goroñska;Roman;Luboñ
PL-0200474;Piesiak;Roman;Bujny szlacheck
PL-0200475;Adamczak;Roman;Poznañ
PL-0200476;Kaczmarek;Roman;Szamotu³y
PL-0200477;Rudnicka;Roman;Poznañ
PL-0200478;Zwierzyñski;Roman;Poznañ
PL-0200479;Hauptmann;Roman;Poznañ
PL-0200480;Piotrowska;Roman;Czerwonak
PL-0200481;Olejniczak;Roman;Miel¿yn
PL-0200482;Hutek;Roman;Murowana Goœlin
PL-0200483;Mazur;Roman;Poznañ
PL-0200484;Mazur;Roman;Poznañ
PL-0200485;Œwierczyñska;Roman;Poznañ
PL-0200486;Gogolewska;Roman;Poznañ
PL-0200487;Olszewska;Roman;Poznañ
PL-0200488;Zielenkiewicz;Roman;Czerwonak
PL-0200489;Gruca;Roman;Poznañ
PL-0200490;Korzep;Roman;Czerwonak
PL-0200491;Burek;Roland;Poznañ
PL-0200492;Niedoœpia³;Roksana;Czerwonak
PL-0200493;Piechocka;Roksana;Czerwonak
PL-0200494;M³odyszewska;Roksana;Czerwonak
PL-0200495;Weter;Robert Piotr;Poznañ
PL-0200496;Serocka;Robert Pawe³;Poznañ
PL-0200497;Panfil;Robert £ukasz;Kozieg³owy
PL-0200498;Sommerfield;Robert Jan;Kozieg³owy
PL-0200499;Król;Robert Henryk;Wagrowiec
PL-0200500;Cybulski;Robert Bogus³aw;Poznañ
PL-0200501;Napieralska;Robert Adrian;Miêdzychód
PL-0200502;Pijanowska;Robert;Poznañ
PL-0200503;Pawlak;Robert;Szamotu³y
PL-0200504;Pawlak;Robert;Szamotu³y
PL-0200505;Handzewniak;Robert;Wolsztyn
PL-0200506;Urban;Robert;Ostrów Wlkp.
PL-0200507;Milewska;Robert;Ostrów Wlkp.
PL-0200508;Kubiak;Robert;Ostrów Wlkp.
PL-0200509;Trzeciak;Robert;Ostrzeszów
PL-0200510;Szymañska;Robert;Ostrzeszów
PL-0200511;Wardeñski;Robert;Ostrów Wlkp.
PL-0200512;Kromska;Robert;Przygodzice
PL-0200513;Gruszka;Robert;Ostrów Wlkp.
PL-0200514;Wachowski;Robert;Ostrów Wlkp.
PL-0200515;Miku³a;Robert;Ostrów Wlkp.
PL-0200516;Ho³oga-Hauptmann;Robert;Gniezno
PL-0200517;Paw³owska;Robert;D¹brówka Wlkp.
PL-0200518;Mirecki;Robert;Kalisz
PL-0200519;Stepczyñska;Robert;Budzyñ
PL-0200520;Starosta;Robert;Grodzisk Wlkp.
PL-0200521;Gajewska;Robert;Krotoszyn
PL-0200522;Wasiak;Robert;Krobia
PL-0200523;KaŸmierczak;Robert;Krobia
PL-0200524;Waluœ;Robert;Krobia
PL-0200525;Straticzuk;Robert;Bojanowo
PL-0200526;Sierocka;Robert;Poznañ
PL-0200527;Gansewska;Robert;S³ubice
PL-0200528;Krupiñska;Robert;Poznañ
PL-0200529;R¹balska;Robert;Poznañ
PL-0200530;Stachowiak;Robert;Poznañ
PL-0200531;Janiszewska;Robert;Warszawa
PL-0200532;Siwanowicz;Robert;Poznañ
PL-0200533;Grzywacz;Robert;Bydgoszcz
PL-0200534;Klepacka;Robert;Chodzie¿
PL-0200535;Szamburska;Robert;Chodzie¿
PL-0200536;Milewski;Robert;W¹sosz
PL-0200537;Palczewski;Robert;Kutno
PL-0200538;Misztal;Robert;Gdañsk
PL-0200539;Rybacka;Robert;Bydgoszcz
PL-0200540;Knopczyk;Robert;Poznañ
PL-0200541;Górniak;Robert;Polanów
PL-0200542;Zaciura;Robert;Siedlce
PL-0200543;Jarmoszyñska;Robert;Poznañ
PL-0200544;Kwiatkowski;Robert;Wa³brzych
PL-0200545;Dukiel;Robert;¯migród
PL-0200546;Muszalski;Robert;Poznañ
PL-0200547;Bogucka;Robert;Poznañ
PL-0200548;Postaremczak;Robert;Swarzêdz
PL-0200549;Walêcka;Robert;Godziesze
PL-0200550;Janczewski;Robert;Wolsztyn
PL-0200551;Przyjazny;Robert;Opatówek
PL-0200552;Wiœniewski;Robert;Che³m
PL-0200553;Wiœniewski;Robert;Skar¿ysko Kamie
PL-0200554;Cyba;Robert;Ostrów Wlkp.
PL-0200555;Kêpska;Robert;Ostrów Wlkp.
PL-0200556;Æwiek;Robert;Ostrów Wlkp.
PL-0200557;Piaskowski;Robert;Ostrów Wlkp.
PL-0200558;Chmielecki;Robert;Ostrów Wlkp.
PL-0200559;Grzesiak;Robert;Ostrów Wlkp.
PL-0200560;Cyfert;Robert;Ostrów Wlkp.
PL-0200561;Rausz;Robert;Ostrów Wlkp.
PL-0200562;Modyra;Robert;Ostrów Wlkp.
PL-0200563;Hausmann;Robert;Ostrów Wlkp.
